ano,sigla_uf,sexo,raca_cor,condicao_forca_trabalho,categoria_ocupacao,total_pessoas,rendimento_medio_trabalho
2020,SP,Feminino,4,1,Conta própria,275,1380.6327272727272
2018,SC,Masculino,3,1,Conta própria,10,3085
2024,PR,Feminino,2,1,Conta própria,39,1936.6666666666667
2018,GO,Feminino,2,1,Conta própria,54,1025.5185185185185
2021,CE,Masculino,1,1,Conta própria,387,1214.4031007751939
2021,CE,Feminino,3,1,Conta própria,13,2059.6153846153843
2021,AL,Feminino,3,1,Conta própria,2,1150
2022,PI,Masculino,1,1,Conta própria,145,1260.6896551724135
2020,PR,Masculino,1,1,Conta própria,988,2669.7186234817809
2018,PB,Feminino,2,1,Conta própria,36,699.58333333333337
2019,AL,Masculino,1,1,Conta própria,238,1209.9285714285713
2020,SE,Feminino,4,1,Conta própria,166,725.86746987951813
2024,PI,Masculino,5,1,Conta própria,1,1412
2019,GO,Masculino,5,1,Conta própria,5,1880
2020,AP,Masculino,5,1,Conta própria,4,1275
2015,PA,Masculino,1,1,Conta própria,316,1082.0380952380951
2015,MG,Masculino,1,1,Conta própria,1518,1702.778364116095
2015,MS,Feminino,3,1,Conta própria,1,800
2023,PR,Masculino,3,1,Conta própria,16,4323.75
2023,SC,Masculino,4,1,Conta própria,409,2559.5134474327629
2023,MT,Feminino,4,1,Conta própria,240,2218.0666666666666
2013,SP,Masculino,4,1,Conta própria,696,1391.8649425287358
2013,RN,Masculino,1,1,Conta própria,286,1065.1696113074204
2016,MT,Feminino,2,1,Conta própria,31,1223.2258064516129
2016,GO,Masculino,1,1,Conta própria,533,2207.5046904315195
2016,CE,Feminino,1,1,Conta própria,271,904.040590405904
2021,SP,Masculino,3,1,Conta própria,33,3978.787878787879
2020,MT,Masculino,5,1,Conta própria,5,1240
2018,RJ,Masculino,5,1,Conta própria,11,1564
2016,PI,Masculino,4,1,Conta própria,821,618.65651644336185
2022,MS,Masculino,5,1,Conta própria,4,1250
2023,AP,Masculino,2,1,Conta própria,57,2084.3859649122805
2020,SE,Masculino,5,1,Conta própria,1,2000
2022,RN,Masculino,4,1,Conta própria,331,1452.1329305135948
2021,SC,Feminino,5,1,Conta própria,2,1850
2024,PE,Feminino,2,1,Conta própria,86,1177.7906976744187
2022,DF,Feminino,5,1,Conta própria,2,7750
2021,AC,Masculino,5,1,Conta própria,1,900
2015,SC,Masculino,2,1,Conta própria,52,1665.4615384615386
2015,PR,Masculino,2,1,Conta própria,80,1481.35
2012,BA,Masculino,5,1,Conta própria,8,650
2012,TO,Masculino,2,1,Conta própria,47,848.09090909090924
2012,AL,Feminino,5,1,Conta própria,1,100
2015,AC,Feminino,4,1,Conta própria,226,841.36607142857133
2015,AC,Masculino,1,1,Conta própria,175,1004.4171428571427
2023,MA,Feminino,4,1,Conta própria,810,828.40493827160492
2023,CE,Masculino,4,1,Conta própria,1025,1157.1063414634148
2023,MG,Feminino,3,1,Conta própria,2,8160
2023,PA,Masculino,3,1,Conta própria,3,6833.333333333333
2014,ES,Feminino,1,1,Conta própria,324,1241.439252336449
2014,RS,Masculino,3,1,Conta própria,4,1356
2016,BA,Feminino,5,1,Conta própria,8,687.5
2013,RJ,Feminino,3,1,Conta própria,3,2009.3333333333335
2016,RS,Feminino,4,1,Conta própria,91,870.60439560439556
2014,RO,Feminino,1,1,Conta própria,72,1152.9166666666665
2016,TO,Masculino,3,1,Conta própria,1,3000
2016,RO,Masculino,5,1,Conta própria,3,1300
2024,MA,Masculino,1,1,Conta própria,366,1474.0054644808745
2022,RR,Feminino,1,1,Conta própria,44,1752.181818181818
2016,AC,Masculino,5,1,Conta própria,3,766.66666666666674
2014,CE,Feminino,5,1,Conta própria,2,200
2020,PE,Masculino,5,1,Conta própria,1,1000
2018,CE,Feminino,5,1,Conta própria,3,200
2022,BA,Masculino,3,1,Conta própria,4,687.5
2017,SE,Masculino,3,1,Conta própria,5,830
2021,CE,Masculino,5,1,Conta própria,12,1120.8333333333333
2018,PE,Masculino,5,1,Conta própria,7,1071.4285714285713
2024,GO,Feminino,4,1,Conta própria,295,1969.4915254237289
2019,RN,Feminino,9,1,Conta própria,1,300
2018,CE,Masculino,3,1,Conta própria,8,2241.25
2019,BA,Masculino,9,1,Conta própria,1,2500
2015,SE,Masculino,1,1,Conta própria,216,909.35813953488366
2015,PI,Feminino,1,1,Conta própria,98,678.45918367346928
2012,ES,Masculino,5,1,Conta própria,3,815.66666666666674
2012,CE,Masculino,2,1,Conta própria,66,526.69841269841265
2015,RJ,Feminino,3,1,Conta própria,3,1833.3333333333333
2012,PA,Masculino,4,1,Conta própria,1529,675.78403141361264
2023,SP,Feminino,4,1,Conta própria,488,1797.7418032786886
2023,PI,Masculino,2,1,Conta própria,105,1478.695238095238
2023,PI,Feminino,2,1,Conta própria,51,1329.0196078431372
2013,MA,Masculino,2,1,Conta própria,462,447.17274939172745
2013,TO,Feminino,2,1,Conta própria,18,694.55555555555554
2016,RO,Masculino,2,1,Conta própria,99,1112.5151515151515
2017,MS,Masculino,1,1,Conta própria,334,1983.2664670658678
2022,PR,Masculino,4,1,Conta própria,606,2507.0544554455446
2016,CE,Feminino,2,1,Conta própria,54,538.7037037037037
2021,PE,Feminino,2,1,Conta própria,54,797.22222222222217
2017,SC,Feminino,2,1,Conta própria,23,1834.6521739130435
2021,PI,Masculino,4,1,Conta própria,590,826.49830508474611
2019,PR,Masculino,5,1,Conta própria,4,1524.5
2019,MS,Masculino,1,1,Conta própria,314,2431.9044585987258
2019,PI,Feminino,2,1,Conta própria,55,542.618181818182
2017,SE,Masculino,1,1,Conta própria,190,1051.0631578947368
2022,AP,Feminino,2,1,Conta própria,19,1558.5263157894738
2017,MG,Masculino,5,1,Conta própria,5,1027.4
2020,AL,Masculino,5,1,Conta própria,2,1750
2022,GO,Masculino,3,1,Conta própria,4,2556
2022,MT,Masculino,5,1,Conta própria,7,2285.7142857142858
2019,PB,Feminino,3,1,Conta própria,2,1750
2016,PI,Feminino,3,1,Conta própria,1,880
2021,SE,Masculino,4,1,Conta própria,396,1028.7929292929296
2022,RO,Feminino,3,1,Conta própria,3,4833.333333333333
2012,MT,Masculino,1,1,Conta própria,416,1773.4565217391305
2012,AC,Masculino,1,1,Conta própria,153,1306.0689655172418
2023,RN,Feminino,5,1,Conta própria,2,5150
2023,AM,Feminino,1,1,Conta própria,90,1494.2222222222222
2013,MT,Feminino,1,1,Conta própria,172,1474.0465116279072
2016,RO,Masculino,1,1,Conta própria,339,1546.5309734513271
2013,ES,Feminino,1,1,Conta própria,268,1212.9737827715353
2022,PB,Feminino,5,1,Conta própria,1,150
2021,SP,Feminino,2,1,Conta própria,114,1466.4912280701753
2024,SC,Feminino,5,1,Conta própria,4,1778
2021,GO,Masculino,3,1,Conta própria,4,3750.0000000000005
2018,RJ,Masculino,4,1,Conta própria,1350,1683.9096296296298
2020,MG,Feminino,3,1,Conta própria,2,550
2024,RO,Masculino,1,1,Conta própria,291,3107.3539518900338
2024,AM,Feminino,4,1,Conta própria,395,1260.7215189873416
2024,AM,Masculino,4,1,Conta própria,1161,1356.4608096468562
2018,GO,Feminino,4,1,Conta própria,420,1249.0047619047621
2024,RS,Masculino,3,1,Conta própria,2,6300
2019,RJ,Feminino,1,1,Conta própria,871,1970.8679678530425
2021,RN,Feminino,2,1,Conta própria,21,501.66666666666674
2024,DF,Feminino,5,1,Conta própria,3,2250
2020,BA,Masculino,4,1,Conta própria,706,868.84277620396608
2020,RR,Feminino,2,1,Conta própria,12,1116.25
2016,ES,Feminino,3,1,Conta própria,3,800
2021,DF,Feminino,4,1,Conta própria,140,1646.5357142857147
2015,AL,Feminino,2,1,Conta própria,36,599.64516129032256
2012,TO,Feminino,4,1,Conta própria,165,568.03164556962031
2012,PE,Feminino,4,1,Conta própria,429,544.43181818181813
2012,PB,Masculino,1,1,Conta própria,329,766.21405750798726
2015,AC,Feminino,2,1,Conta própria,10,723.8
2023,AL,Feminino,5,1,Conta própria,3,1380
2023,RJ,Masculino,5,1,Conta própria,12,1330
2023,BA,Feminino,4,1,Conta própria,462,920.36796536796533
2023,SP,Masculino,3,1,Conta própria,54,5159.62962962963
2023,SP,Masculino,5,1,Conta própria,8,3092.5
2015,AM,Masculino,3,1,Conta própria,3,433.33333333333331
2012,RS,Masculino,3,1,Conta própria,2,550
2013,BA,Masculino,4,1,Conta própria,1815,610.1463273568537
2013,BA,Feminino,4,1,Conta própria,760,433.191196698762
2014,RO,Masculino,3,1,Conta própria,1,600
2013,MA,Masculino,1,1,Conta própria,627,829.04744525547437
2013,MA,Feminino,1,1,Conta própria,272,626.76628352490422
2017,RN,Masculino,4,1,Conta própria,450,971.373333333333
2017,RN,Masculino,3,1,Conta própria,1,2500
2016,RN,Feminino,4,1,Conta própria,224,783.75892857142844
2016,RN,Masculino,5,1,Conta própria,2,750
2022,RJ,Feminino,3,1,Conta própria,15,2120.6666666666665
2019,RS,Feminino,2,1,Conta própria,51,1268.6470588235295
2020,AL,Feminino,1,1,Conta própria,86,997.174418604651
2019,TO,Masculino,2,1,Conta própria,72,1310.6666666666665
2017,MG,Feminino,3,1,Conta própria,2,875
2024,AL,Feminino,4,1,Conta própria,339,1125.6430678466077
2022,GO,Masculino,4,1,Conta própria,622,2497.855305466238
2022,GO,Feminino,1,1,Conta própria,284,2111.4084507042257
2021,SC,Masculino,9,1,Conta própria,2,1200
2022,RN,Masculino,3,1,Conta própria,1,1200
2016,AP,Masculino,3,1,Conta própria,1,3000
2016,DF,Masculino,5,1,Conta própria,2,1700
2015,ES,Masculino,4,1,Conta própria,767,1358.0627450980392
2015,SC,Feminino,2,1,Conta própria,19,1205.5263157894738
2015,AM,Masculino,2,1,Conta própria,75,556.11111111111109
2023,AL,Masculino,2,1,Conta própria,105,1224.6285714285714
2012,RO,Feminino,4,1,Conta própria,169,701.59171597633144
2014,PA,Masculino,5,1,Conta própria,8,566.66666666666663
2013,SP,Masculino,3,1,Conta própria,31,2374.7096774193551
2013,PA,Feminino,2,1,Conta própria,51,599.89795918367338
2017,SP,Feminino,2,1,Conta própria,114,1305.6228070175437
2017,PE,Masculino,5,1,Conta própria,3,1133.3333333333333
2016,RR,Feminino,2,1,Conta própria,12,944.16666666666663
2017,AM,Feminino,5,1,Conta própria,9,334.44444444444446
2016,MG,Masculino,5,1,Conta própria,1,1500
2017,RJ,Masculino,1,1,Conta própria,1331,2179.8580015026296
2017,MA,Masculino,2,1,Conta própria,379,662.70976253298159
2019,PR,Feminino,2,1,Conta própria,37,1601.216216216216
2019,SE,Feminino,4,1,Conta própria,314,618.72611464968145
2018,MS,Feminino,4,1,Conta própria,241,981.71369294605813
2021,SP,Masculino,2,1,Conta própria,210,2339.3095238095234
2021,PR,Feminino,3,1,Conta própria,10,3150
2022,RS,Feminino,5,1,Conta própria,8,1951.5
2024,PR,Feminino,3,1,Conta própria,12,2301
2021,SP,Feminino,5,1,Conta própria,4,1875
2020,PB,Feminino,1,1,Conta própria,77,1188.5714285714287
2020,PA,Masculino,1,1,Conta própria,141,1375.3900709219859
2019,BA,Masculino,3,1,Conta própria,7,438.42857142857139
2021,RO,Masculino,3,1,Conta própria,6,3283.3333333333335
2024,AL,Masculino,4,1,Conta própria,662,1599.8670694864052
2022,TO,Feminino,2,1,Conta própria,25,1066.9600000000005
2021,ES,Feminino,1,1,Conta própria,299,1793.9632107023417
2018,SE,Masculino,1,1,Conta própria,158,1261.4303797468358
2024,PI,Masculino,2,1,Conta própria,103,1347.5436893203885
2021,SE,Masculino,1,1,Conta própria,142,1096.0633802816903
2020,ES,Masculino,5,1,Conta própria,2,1750
2019,AC,Feminino,5,1,Conta própria,1,998
2012,MG,Feminino,4,1,Conta própria,559,679.77576853526239
2012,RO,Feminino,1,1,Conta própria,92,763.304347826087
2014,PR,Feminino,3,1,Conta própria,10,2420
2014,RJ,Feminino,1,1,Conta própria,703,1413.3769559032714
2014,AM,Feminino,1,1,Conta própria,88,1309.4252873563219
2016,PE,Masculino,1,1,Conta própria,444,1393.7229729729731
2013,PE,Feminino,2,1,Conta própria,34,520.9677419354839
2014,SC,Masculino,9,1,Conta própria,33,1370.5757575757575
2017,ES,Feminino,2,1,Conta própria,90,997.8888888888888
2014,PB,Masculino,2,1,Conta própria,52,813.36170212765956
2017,MT,Feminino,2,1,Conta própria,50,1364.94
2016,SC,Feminino,3,1,Conta própria,6,1783.3333333333333
2017,PI,Feminino,2,1,Conta própria,52,553.28846153846155
2013,RS,Masculino,3,1,Conta própria,1,3000
2021,RS,Masculino,2,1,Conta própria,75,1715.2
2018,MA,Feminino,4,1,Conta própria,969,563.46646026831786
2019,SE,Masculino,2,1,Conta própria,67,840.70149253731358
2022,AM,Masculino,1,1,Conta própria,195,1714.2564102564104
2016,AC,Masculino,4,1,Conta própria,690,1020.3289855072462
2017,SC,Masculino,5,1,Conta própria,6,1266.6666666666667
2022,SC,Masculino,4,1,Conta própria,355,2841.0197183098594
2017,PR,Masculino,5,1,Conta própria,5,1447.4
2020,RS,Masculino,2,1,Conta própria,56,1830.2678571428571
2022,BA,Masculino,4,1,Conta própria,979,1179.2808988764048
2022,CE,Feminino,1,1,Conta própria,250,1044.152
2018,DF,Feminino,1,1,Conta própria,141,2239.1489361702133
2024,BA,Masculino,4,1,Conta própria,1008,1370.7073412698417
2024,BA,Feminino,4,1,Conta própria,493,1068
2024,RS,Masculino,5,1,Conta própria,10,2201.2
2022,ES,Feminino,1,1,Conta própria,326,2148.9171779141097
2020,PB,Masculino,2,1,Conta própria,40,913.49999999999989
2020,PA,Feminino,1,1,Conta própria,88,1332.0454545454543
2024,GO,Feminino,1,1,Conta própria,295,2877.4406779661012
2024,GO,Masculino,2,1,Conta própria,120,2706.2333333333336
2020,CE,Feminino,4,1,Conta própria,390,765.04358974358968
2020,RO,Masculino,4,1,Conta própria,405,1578.60987654321
2021,MS,Masculino,2,1,Conta própria,55,1832.5454545454545
2015,PI,Feminino,4,1,Conta própria,435,410.83678160919544
2015,TO,Feminino,1,1,Conta própria,58,1411.793103448276
2012,BA,Masculino,4,1,Conta própria,1605,639.4271844660193
2012,ES,Feminino,1,1,Conta própria,323,1099.64375
2015,RS,Masculino,5,1,Conta própria,3,1033.3333333333335
2023,MG,Masculino,1,1,Conta própria,1321,2746.2770628311882
2023,CE,Feminino,2,1,Conta própria,64,891.875
2023,RN,Feminino,4,1,Conta própria,122,1316.72131147541
2023,PB,Feminino,2,1,Conta própria,33,1049.6969696969697
2023,SE,Masculino,2,1,Conta própria,55,1309.1636363636362
2014,AM,Feminino,5,1,Conta própria,4,225
2016,SP,Masculino,5,1,Conta própria,2,1100
2013,PR,Masculino,3,1,Conta própria,22,2839.4285714285716
2017,BA,Feminino,2,1,Conta própria,285,583.57192982456138
2013,RO,Feminino,3,1,Conta própria,2,875
2013,MT,Feminino,5,1,Conta própria,2,2000
2016,GO,Masculino,4,1,Conta própria,844,1689.4419431279618
2018,RN,Feminino,1,1,Conta própria,147,997.76190476190482
2021,PR,Masculino,5,1,Conta própria,7,1185.7142857142858
2017,PB,Feminino,4,1,Conta própria,308,689.62987012987
2019,AP,Masculino,2,1,Conta própria,36,1154.1111111111113
2020,PA,Feminino,5,1,Conta própria,2,750
2020,PA,Masculino,5,1,Conta própria,4,1050
2024,PR,Masculino,5,1,Conta própria,7,2014.2857142857142
2020,SC,Feminino,3,1,Conta própria,2,1522.5
2016,AC,Feminino,3,1,Conta própria,1,200
2017,MG,Feminino,5,1,Conta própria,2,650
2024,DF,Masculino,3,1,Conta própria,3,2833.3333333333335
2017,AL,Masculino,5,1,Conta própria,4,850
2020,MA,Masculino,2,1,Conta própria,173,874.05202312138726
2024,PA,Masculino,3,1,Conta própria,4,2303
2021,MT,Masculino,1,1,Conta própria,335,2879.5223880597014
2020,RR,Feminino,5,1,Conta própria,7,850
2020,ES,Feminino,5,1,Conta própria,1,3000
2014,TO,Feminino,3,1,Conta própria,1,100
2016,DF,Masculino,3,1,Conta própria,4,5627.5
2015,MG,Masculino,3,1,Conta própria,3,5400
2012,PI,Feminino,1,1,Conta própria,120,312.10000000000008
