ano,sigla_uf,sexo,total_trabalhadores,salario_medio
1991,SP,Feminino,2609493,
1991,SP,Masculino,5016686,
1991,TO,Feminino,13799,
1991,TO,Masculino,14530,
1992,AC,Feminino,21367,
1992,AC,Masculino,21558,
1992,AL,Feminino,104949,
1992,AL,Masculino,148279,
1992,AM,Feminino,91139,
1992,AM,Masculino,118841,
1992,AP,Feminino,5185,
1992,AP,Masculino,11315,
1992,BA,Feminino,310129,
1992,BA,Masculino,497885,
1992,CE,Feminino,246358,
1992,CE,Masculino,284767,
1992,DF,Feminino,176375,
1992,DF,Masculino,392199,
1992,ES,Feminino,130362,
1992,ES,Masculino,236418,
1992,GO,Feminino,168419,
1992,GO,Masculino,268233,
1992,IGNORADO,Feminino,56594,
1992,IGNORADO,Masculino,258907,
1992,MA,Feminino,97670,
1992,MA,Masculino,124377,
1992,MG,Feminino,706689,
1992,MG,Masculino,1368510,
1992,MS,Feminino,77900,
1992,MS,Masculino,144967,
1992,MT,Feminino,43114,
1992,MT,Masculino,105238,
1992,PA,Feminino,129384,
1992,PA,Masculino,221053,
1992,PB,Feminino,131467,
1992,PB,Masculino,149162,
1992,PE,Feminino,271133,
1992,PE,Masculino,502985,
1992,PI,Feminino,76816,
1992,PI,Masculino,89266,
1992,PR,Feminino,464592,
1992,PR,Masculino,826925,
1992,RJ,Feminino,878769,
1992,RJ,Masculino,1740295,
1992,RN,Feminino,117594,
1992,RN,Masculino,139804,
1992,RO,Feminino,41450,
1992,RO,Masculino,56365,
1992,RR,Feminino,7671,
1992,RR,Masculino,10650,
1992,RS,Feminino,663490,
1992,RS,Masculino,1027342,
1992,SC,Feminino,290723,
1992,SC,Masculino,530687,
1992,SE,Feminino,70453,
1992,SE,Masculino,99043,
1992,SP,Feminino,2589252,
1992,SP,Masculino,4870843,
1993,AC,Feminino,24675,
1993,AC,Masculino,25241,
1993,AL,Feminino,107866,
1993,AL,Masculino,144147,
1993,AM,Feminino,99137,
1993,AM,Masculino,126465,
1993,AP,Feminino,13899,
1993,AP,Masculino,21289,
1993,BA,Feminino,351589,
1993,BA,Masculino,547049,
1993,CE,Feminino,251994,
1993,CE,Masculino,303027,
1993,DF,Feminino,186769,
1993,DF,Masculino,410526,
1993,ES,Feminino,141292,
1993,ES,Masculino,245200,
1993,GO,Feminino,181108,
1993,GO,Masculino,278698,
1993,IGNORADO,Feminino,54299,
1993,IGNORADO,Masculino,237499,
1993,MA,Feminino,102183,
1993,MA,Masculino,126815,
1993,MG,Feminino,733058,
1993,MG,Masculino,1439802,
1993,MS,Feminino,82936,
1993,MS,Masculino,159099,
1993,MT,Feminino,68331,
1993,MT,Masculino,129443,
1993,PA,Feminino,149728,
1993,PA,Masculino,239191,
1993,PB,Feminino,127944,
1993,PB,Masculino,142855,
1993,PE,Feminino,280939,
1993,PE,Masculino,490174,
1993,PI,Feminino,80903,
1993,PI,Masculino,95081,
1993,PR,Feminino,487899,
1993,PR,Masculino,871093,
1993,RJ,Feminino,942272,
1993,RJ,Masculino,1758761,
1993,RN,Feminino,122275,
1993,RN,Masculino,140356,
1993,RO,Feminino,45502,
1993,RO,Masculino,62472,
1993,RR,Feminino,8950,
1993,RR,Masculino,12228,
1993,RS,Feminino,701639,
1993,RS,Masculino,1070236,
1993,SC,Feminino,308541,
1993,SC,Masculino,556657,
1993,SE,Feminino,73248,
1993,SE,Masculino,102778,
1993,SP,Feminino,2667476,
1993,SP,Masculino,4950188,
1993,TO,Feminino,25756,
1993,TO,Masculino,34613,
1994,AC,Feminino,37404,
1994,AC,Masculino,29632,
1994,AL,Feminino,109145,
1994,AL,Masculino,156653,
1994,AM,Feminino,99620,
1994,AM,Masculino,130379,
1994,AP,Feminino,12297,
1994,AP,Masculino,18224,
1994,BA,Feminino,330036,
