ano,sigla_uf,sexo,raca_cor,condicao_forca_trabalho,categoria_ocupacao,total_pessoas,rendimento_medio_trabalho
2018,MS,Masculino,Branca,Na força de trabalho,Conta própria,376,2171.89
2018,RO,Masculino,Preta,Na força de trabalho,Conta própria,102,1305.61
2017,RO,Feminino,Amarela,Na força de trabalho,Conta própria,181,904.36
2022,AM,Feminino,Parda,Na força de trabalho,Conta própria,2,806.0
2019,SP,Feminino,Amarela,Na força de trabalho,Conta própria,2,800.0
2018,AC,Feminino,Parda,Na força de trabalho,Conta própria,3,1150.0
2018,SP,Feminino,Parda,Na força de trabalho,Conta própria,35,2608.57
2020,SP,Feminino,Amarela,Na força de trabalho,Conta própria,275,1380.63
2018,SC,Masculino,Parda,Na força de trabalho,Conta própria,10,3085.0
2024,PR,Feminino,Preta,Na força de trabalho,Conta própria,39,1936.67
2018,GO,Feminino,Preta,Na força de trabalho,Conta própria,54,1025.52
2021,CE,Masculino,Branca,Na força de trabalho,Conta própria,387,1214.4
2021,CE,Feminino,Parda,Na força de trabalho,Conta própria,13,2059.62
2021,AL,Feminino,Parda,Na força de trabalho,Conta própria,2,1150.0
2022,PI,Masculino,Branca,Na força de trabalho,Conta própria,145,1260.69
2020,PR,Masculino,Branca,Na força de trabalho,Conta própria,988,2669.72
2018,PB,Feminino,Preta,Na força de trabalho,Conta própria,36,699.58
2019,AL,Masculino,Branca,Na força de trabalho,Conta própria,238,1209.93
2020,SE,Feminino,Amarela,Na força de trabalho,Conta própria,166,725.87
2024,PI,Masculino,Amarela,Na força de trabalho,Conta própria,1,1412.0
2019,GO,Masculino,Amarela,Na força de trabalho,Conta própria,5,1880.0
2020,AP,Masculino,Amarela,Na força de trabalho,Conta própria,4,1275.0
2015,PA,Masculino,Branca,Na força de trabalho,Conta própria,316,1082.04
2015,MG,Masculino,Branca,Na força de trabalho,Conta própria,1518,1702.78
2015,MS,Feminino,Parda,Na força de trabalho,Conta própria,1,800.0
2023,PR,Masculino,Parda,Na força de trabalho,Conta própria,16,4323.75
2023,SC,Masculino,Amarela,Na força de trabalho,Conta própria,409,2559.51
2023,MT,Feminino,Amarela,Na força de trabalho,Conta própria,240,2218.07
2013,SP,Masculino,Amarela,Na força de trabalho,Conta própria,696,1391.86
2013,RN,Masculino,Branca,Na força de trabalho,Conta própria,286,1065.17
2016,MT,Feminino,Preta,Na força de trabalho,Conta própria,31,1223.23
2016,GO,Masculino,Branca,Na força de trabalho,Conta própria,533,2207.5
2016,CE,Feminino,Branca,Na força de trabalho,Conta própria,271,904.04
2021,SP,Masculino,Parda,Na força de trabalho,Conta própria,33,3978.79
2020,MT,Masculino,Amarela,Na força de trabalho,Conta própria,5,1240.0
2018,RJ,Masculino,Amarela,Na força de trabalho,Conta própria,11,1564.0
2016,PI,Masculino,Amarela,Na força de trabalho,Conta própria,821,618.66
2022,MS,Masculino,Amarela,Na força de trabalho,Conta própria,4,1250.0
2023,AP,Masculino,Preta,Na força de trabalho,Conta própria,57,2084.39
2020,SE,Masculino,Amarela,Na força de trabalho,Conta própria,1,2000.0
2022,RN,Masculino,Amarela,Na força de trabalho,Conta própria,331,1452.13
2021,SC,Feminino,Amarela,Na força de trabalho,Conta própria,2,1850.0
2024,PE,Feminino,Preta,Na força de trabalho,Conta própria,86,1177.79
2022,DF,Feminino,Amarela,Na força de trabalho,Conta própria,2,7750.0
2021,AC,Masculino,Amarela,Na força de trabalho,Conta própria,1,900.0
2015,SC,Masculino,Preta,Na força de trabalho,Conta própria,52,1665.46
2015,PR,Masculino,Preta,Na força de trabalho,Conta própria,80,1481.35
2012,BA,Masculino,Amarela,Na força de trabalho,Conta própria,8,650.0
2012,TO,Masculino,Preta,Na força de trabalho,Conta própria,47,848.09
2012,AL,Feminino,Amarela,Na força de trabalho,Conta própria,1,100.0
2015,AC,Feminino,Amarela,Na força de trabalho,Conta própria,226,841.37
2015,AC,Masculino,Branca,Na força de trabalho,Conta própria,175,1004.42
2023,MA,Feminino,Amarela,Na força de trabalho,Conta própria,810,828.4
2023,CE,Masculino,Amarela,Na força de trabalho,Conta própria,1025,1157.11
2023,MG,Feminino,Parda,Na força de trabalho,Conta própria,2,8160.0
2023,PA,Masculino,Parda,Na força de trabalho,Conta própria,3,6833.33
2014,ES,Feminino,Branca,Na força de trabalho,Conta própria,324,1241.44
2014,RS,Masculino,Parda,Na força de trabalho,Conta própria,4,1356.0
2016,BA,Feminino,Amarela,Na força de trabalho,Conta própria,8,687.5
2013,RJ,Feminino,Parda,Na força de trabalho,Conta própria,3,2009.33
2016,RS,Feminino,Amarela,Na força de trabalho,Conta própria,91,870.6
2014,RO,Feminino,Branca,Na força de trabalho,Conta própria,72,1152.92
2016,TO,Masculino,Parda,Na força de trabalho,Conta própria,1,3000.0
2016,RO,Masculino,Amarela,Na força de trabalho,Conta própria,3,1300.0
2024,MA,Masculino,Branca,Na força de trabalho,Conta própria,366,1474.01
2022,RR,Feminino,Branca,Na força de trabalho,Conta própria,44,1752.18
2016,AC,Masculino,Amarela,Na força de trabalho,Conta própria,3,766.67
2014,CE,Feminino,Amarela,Na força de trabalho,Conta própria,2,200.0
2020,PE,Masculino,Amarela,Na força de trabalho,Conta própria,1,1000.0
2018,CE,Feminino,Amarela,Na força de trabalho,Conta própria,3,200.0
2022,BA,Masculino,Parda,Na força de trabalho,Conta própria,4,687.5
2017,SE,Masculino,Parda,Na força de trabalho,Conta própria,5,830.0
2021,CE,Masculino,Amarela,Na força de trabalho,Conta própria,12,1120.83
2018,PE,Masculino,Amarela,Na força de trabalho,Conta própria,7,1071.43
2024,GO,Feminino,Amarela,Na força de trabalho,Conta própria,295,1969.49
2019,RN,Feminino,Não informado,Na força de trabalho,Conta própria,1,300.0
2018,CE,Masculino,Parda,Na força de trabalho,Conta própria,8,2241.25
2019,BA,Masculino,Não informado,Na força de trabalho,Conta própria,1,2500.0
2015,SE,Masculino,Branca,Na força de trabalho,Conta própria,216,909.36
2015,PI,Feminino,Branca,Na força de trabalho,Conta própria,98,678.46
2012,ES,Masculino,Amarela,Na força de trabalho,Conta própria,3,815.67
2012,CE,Masculino,Preta,Na força de trabalho,Conta própria,66,526.7
2015,RJ,Feminino,Parda,Na força de trabalho,Conta própria,3,1833.33
2012,PA,Masculino,Amarela,Na força de trabalho,Conta própria,1529,675.78
2023,SP,Feminino,Amarela,Na força de trabalho,Conta própria,488,1797.74
2023,PI,Masculino,Preta,Na força de trabalho,Conta própria,105,1478.7
2023,PI,Feminino,Preta,Na força de trabalho,Conta própria,51,1329.02
2013,MA,Masculino,Preta,Na força de trabalho,Conta própria,462,447.17
2013,TO,Feminino,Preta,Na força de trabalho,Conta própria,18,694.56
2016,RO,Masculino,Preta,Na força de trabalho,Conta própria,99,1112.52
2017,MS,Masculino,Branca,Na força de trabalho,Conta própria,334,1983.27
2022,PR,Masculino,Amarela,Na força de trabalho,Conta própria,606,2507.05
2016,CE,Feminino,Preta,Na força de trabalho,Conta própria,54,538.7
2021,PE,Feminino,Preta,Na força de trabalho,Conta própria,54,797.22
2017,SC,Feminino,Preta,Na força de trabalho,Conta própria,23,1834.65
2021,PI,Masculino,Amarela,Na força de trabalho,Conta própria,590,826.5
2019,PR,Masculino,Amarela,Na força de trabalho,Conta própria,4,1524.5
2019,MS,Masculino,Branca,Na força de trabalho,Conta própria,314,2431.9
2019,PI,Feminino,Preta,Na força de trabalho,Conta própria,55,542.62
2017,SE,Masculino,Branca,Na força de trabalho,Conta própria,190,1051.06
2022,AP,Feminino,Preta,Na força de trabalho,Conta própria,19,1558.53
2017,MG,Masculino,Amarela,Na força de trabalho,Conta própria,5,1027.4
2020,AL,Masculino,Amarela,Na força de trabalho,Conta própria,2,1750.0
2022,GO,Masculino,Parda,Na força de trabalho,Conta própria,4,2556.0
2022,MT,Masculino,Amarela,Na força de trabalho,Conta própria,7,2285.71
2019,PB,Feminino,Parda,Na força de trabalho,Conta própria,2,1750.0
2016,PI,Feminino,Parda,Na força de trabalho,Conta própria,1,880.0
2021,SE,Masculino,Amarela,Na força de trabalho,Conta própria,396,1028.79
2022,RO,Feminino,Parda,Na força de trabalho,Conta própria,3,4833.33
2012,MT,Masculino,Branca,Na força de trabalho,Conta própria,416,1773.46
2012,AC,Masculino,Branca,Na força de trabalho,Conta própria,153,1306.07
2023,RN,Feminino,Amarela,Na força de trabalho,Conta própria,2,5150.0
2023,AM,Feminino,Branca,Na força de trabalho,Conta própria,90,1494.22
2013,MT,Feminino,Branca,Na força de trabalho,Conta própria,172,1474.05
2016,RO,Masculino,Branca,Na força de trabalho,Conta própria,339,1546.53
2013,ES,Feminino,Branca,Na força de trabalho,Conta própria,268,1212.97
2022,PB,Feminino,Amarela,Na força de trabalho,Conta própria,1,150.0
2021,SP,Feminino,Preta,Na força de trabalho,Conta própria,114,1466.49
2024,SC,Feminino,Amarela,Na força de trabalho,Conta própria,4,1778.0
2021,GO,Masculino,Parda,Na força de trabalho,Conta própria,4,3750.0
2018,RJ,Masculino,Amarela,Na força de trabalho,Conta própria,1350,1683.91
2020,MG,Feminino,Parda,Na força de trabalho,Conta própria,2,550.0
2024,RO,Masculino,Branca,Na força de trabalho,Conta própria,291,3107.35
2024,AM,Feminino,Amarela,Na força de trabalho,Conta própria,395,1260.72
2024,AM,Masculino,Amarela,Na força de trabalho,Conta própria,1161,1356.46
2018,GO,Feminino,Amarela,Na força de trabalho,Conta própria,420,1249.0
2024,RS,Masculino,Parda,Na força de trabalho,Conta própria,2,6300.0
2019,RJ,Feminino,Branca,Na força de trabalho,Conta própria,871,1970.87
2021,RN,Feminino,Preta,Na força de trabalho,Conta própria,21,501.67
2024,DF,Feminino,Amarela,Na força de trabalho,Conta própria,3,2250.0
2020,BA,Masculino,Amarela,Na força de trabalho,Conta própria,706,868.84
2020,RR,Feminino,Preta,Na força de trabalho,Conta própria,12,1116.25
2016,ES,Feminino,Parda,Na força de trabalho,Conta própria,3,800.0
2021,DF,Feminino,Amarela,Na força de trabalho,Conta própria,140,1646.54
2015,AL,Feminino,Preta,Na força de trabalho,Conta própria,36,599.65
2012,TO,Feminino,Amarela,Na força de trabalho,Conta própria,165,568.03
2012,PE,Feminino,Amarela,Na força de trabalho,Conta própria,429,544.43
2012,PB,Masculino,Branca,Na força de trabalho,Conta própria,329,766.21
2015,AC,Feminino,Preta,Na força de trabalho,Conta própria,10,723.8
2023,AL,Feminino,Amarela,Na força de trabalho,Conta própria,3,1380.0
2023,RJ,Masculino,Amarela,Na força de trabalho,Conta própria,12,1330.0
2023,BA,Feminino,Amarela,Na força de trabalho,Conta própria,462,920.37
2023,SP,Masculino,Parda,Na força de trabalho,Conta própria,54,5159.63
2023,SP,Masculino,Amarela,Na força de trabalho,Conta própria,8,3092.5
2015,AM,Masculino,Parda,Na força de trabalho,Conta própria,3,433.33
2012,RS,Masculino,Parda,Na força de trabalho,Conta própria,2,550.0
