ano,sigla_uf,sexo,total_trabalhadores,salario_medio
1992,PB,Feminino,131467,0.0
1992,PB,Masculino,149162,0.0
1992,PE,Feminino,271133,0.0
1992,PE,Masculino,502985,0.0
1992,PI,Feminino,76816,0.0
1992,PI,Masculino,89266,0.0
1992,PR,Feminino,464592,0.0
1992,PR,Masculino,826925,0.0
1992,RJ,Feminino,878769,0.0
1992,RJ,Masculino,1740295,0.0
1992,RN,Feminino,117594,0.0
1992,RN,Masculino,139804,0.0
1992,RO,Feminino,41450,0.0
1992,RO,Masculino,56365,0.0
1992,RR,Feminino,7671,0.0
1992,RR,Masculino,10650,0.0
1992,RS,Feminino,663490,0.0
1992,RS,Masculino,1027342,0.0
1992,SC,Feminino,290723,0.0
1992,SC,Masculino,530687,0.0
1992,SE,Feminino,70453,0.0
1992,SE,Masculino,99043,0.0
1992,SP,Feminino,2589252,0.0
1992,SP,Masculino,4870843,0.0
1993,AC,Feminino,24675,0.0
1993,AC,Masculino,25241,0.0
1993,AL,Feminino,107866,0.0
1993,AL,Masculino,144147,0.0
1993,AM,Feminino,99137,0.0
1993,AM,Masculino,126465,0.0
1993,AP,Feminino,13899,0.0
1993,AP,Masculino,21289,0.0
1993,BA,Feminino,351589,0.0
1993,BA,Masculino,547049,0.0
1993,CE,Feminino,251994,0.0
1993,CE,Masculino,303027,0.0
1993,DF,Feminino,186769,0.0
1993,DF,Masculino,410526,0.0
1993,ES,Feminino,141292,0.0
1993,ES,Masculino,245200,0.0
1993,GO,Feminino,181108,0.0
1993,GO,Masculino,278698,0.0
1993,MA,Feminino,102183,0.0
1993,MA,Masculino,126815,0.0
1993,MG,Feminino,733058,0.0
1993,MG,Masculino,1439802,0.0
1993,MS,Feminino,82936,0.0
1993,MS,Masculino,159099,0.0
1993,MT,Feminino,68331,0.0
1993,MT,Masculino,129443,0.0
1993,PA,Feminino,149728,0.0
1993,PA,Masculino,239191,0.0
1993,PB,Feminino,127944,0.0
1993,PB,Masculino,142855,0.0
1993,PE,Feminino,280939,0.0
1993,PE,Masculino,490174,0.0
1993,PI,Feminino,80903,0.0
1993,PI,Masculino,95081,0.0
1993,PR,Feminino,487899,0.0
1993,PR,Masculino,871093,0.0
1993,RJ,Feminino,942272,0.0
1993,RJ,Masculino,1758761,0.0
1993,RN,Feminino,122275,0.0
1993,RN,Masculino,140356,0.0
1993,RO,Feminino,45502,0.0
1993,RO,Masculino,62472,0.0
1993,RR,Feminino,8950,0.0
1993,RR,Masculino,12228,0.0
1993,RS,Feminino,701639,0.0
1993,RS,Masculino,1070236,0.0
1993,SC,Feminino,308541,0.0
1993,SC,Masculino,556657,0.0
1993,SE,Feminino,73248,0.0
1993,SE,Masculino,102778,0.0
1993,SP,Feminino,2667476,0.0
1993,SP,Masculino,4950188,0.0
1993,TO,Feminino,25756,0.0
1993,TO,Masculino,34613,0.0
1994,AC,Feminino,37404,0.0
1994,AC,Masculino,29632,0.0
1994,AL,Feminino,109145,0.0
1994,AL,Masculino,156653,0.0
1994,AM,Feminino,99620,0.0
1994,AM,Masculino,130379,0.0
1994,AP,Feminino,12297,0.0
1994,AP,Masculino,18224,0.0
1994,BA,Feminino,330036,0.0
1994,BA,Masculino,549807,0.0
1994,CE,Feminino,264308,0.0
1994,CE,Masculino,312640,0.0
1994,DF,Feminino,197353,0.0
1994,DF,Masculino,434529,0.0
1994,ES,Feminino,147060,0.0
1994,ES,Masculino,257678,0.0
1994,GO,Feminino,187914,0.0
1994,GO,Masculino,291837,0.0
1994,MA,Feminino,109889,0.0
1994,MA,Masculino,131464,0.0
1994,MG,Feminino,788920,0.0
1994,MG,Masculino,1481573,0.0
1994,MS,Feminino,85267,0.0
1994,MS,Masculino,162403,0.0
1994,MT,Feminino,81539,0.0
1994,MT,Masculino,148469,0.0
1994,PA,Feminino,153568,0.0
1994,PA,Masculino,243648,0.0
1994,PB,Feminino,118228,0.0
1994,PB,Masculino,128734,0.0
1994,PE,Feminino,288843,0.0
1994,PE,Masculino,517331,0.0
1994,PI,Feminino,87149,0.0
1994,PI,Masculino,97049,0.0
1994,PR,Feminino,519938,0.0
1994,PR,Masculino,910069,0.0
1994,RJ,Feminino,966879,0.0
1994,RJ,Masculino,1723908,0.0
1994,RN,Feminino,126670,0.0
1994,RN,Masculino,148692,0.0
1994,RO,Feminino,48632,0.0
1994,RO,Masculino,66849,0.0
1994,RR,Feminino,9338,0.0
1994,RR,Masculino,11439,0.0
1994,RS,Feminino,709599,0.0
1994,RS,Masculino,1075073,0.0
1994,SC,Feminino,334098,0.0
1994,SC,Masculino,589494,0.0
1994,SE,Feminino,76747,0.0
1994,SE,Masculino,102994,0.0
1994,SP,Feminino,2797641,0.0
1994,SP,Masculino,5037760,0.0
1994,TO,Feminino,10739,0.0
1994,TO,Masculino,19912,0.0
1995,AC,Feminino,24992,0.0
1995,AC,Masculino,23164,0.0
1995,AL,Feminino,108583,0.0
1995,AL,Masculino,167690,0.0
1995,AM,Feminino,102350,0.0
1995,AM,Masculino,136903,0.0
1995,AP,Feminino,12221,0.0
1995,AP,Masculino,19537,0.0
1995,BA,Feminino,380356,0.0
1995,BA,Masculino,571082,0.0
1995,CE,Feminino,273863,0.0
1995,CE,Masculino,322207,0.0
1995,DF,Feminino,192904,0.0
1995,DF,Masculino,436254,0.0
1995,ES,Feminino,155881,0.0
1995,ES,Masculino,264666,0.0
1995,GO,Feminino,202643,0.0
1995,GO,Masculino,308345,0.0
1995,MA,Feminino,112917,0.0
1995,MA,Masculino,135008,0.0
1995,MG,Feminino,856975,0.0
1995,MG,Masculino,1579268,0.0
1995,MS,Feminino,90497,0.0
1995,MS,Masculino,164801,0.0
1995,MT,Feminino,80422,0.0
1995,MT,Masculino,152012,0.0
1995,PA,Feminino,154384,0.0
1995,PA,Masculino,239424,0.0
1995,PB,Feminino,141851,0.0
1995,PB,Masculino,166583,0.0
1995,PE,Feminino,297752,0.0
1995,PE,Masculino,527261,0.0
1995,PI,Feminino,87124,0.0
1995,PI,Masculino,97260,0.0
1995,PR,Feminino,540638,0.0
1995,PR,Masculino,921846,0.0
1995,RJ,Feminino,972159,0.0
1995,RJ,Masculino,1716033,0.0
1995,RN,Feminino,132023,0.0
1995,RN,Masculino,153962,0.0
1995,RO,Feminino,49859,0.0
1995,RO,Masculino,69143,0.0
1995,RR,Feminino,9247,0.0
1995,RR,Masculino,12159,0.0
1995,RS,Feminino,690357,0.0
1995,RS,Masculino,1038811,0.0
1995,SC,Feminino,329742,0.0
1995,SC,Masculino,579003,0.0
1995,SE,Feminino,77559,0.0
1995,SE,Masculino,100989,0.0
1995,SP,Feminino,2771673,0.0
1995,SP,Masculino,4936604,0.0
1995,TO,Feminino,22144,0.0
1995,TO,Masculino,34587,0.0
1996,AC,Feminino,27261,0.0
1996,AC,Masculino,27396,0.0
1996,AL,Feminino,108498,0.0
1996,AL,Masculino,171082,0.0
1996,AM,Feminino,94444,0.0
